X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,fire,Rand Form,
9,4,jul,mon,92.3,92.1,442.1,9.8,22.8,27,4.5,0,1.63,0,0.585166105,
6,5,mar,mon,90.1,39.7,86.6,6.2,15.2,27,3.1,0,31.86,0,0.022985141,
8,6,oct,mon,84.9,32.8,664.2,3,19.1,32,4,0,5.44,0,0.877522516,
2,3,sep,mon,91.6,108.4,764,6.2,18,51,5.4,0,0,0,0.374348028,
8,6,dec,wed,84,27.8,354.6,5.3,5.1,61,8,0,11.19,0,0.3440849,
4,5,sep,sun,91,276.3,825.1,7.1,13.8,77,7.6,0,0,0,0.774340535,
2,2,aug,sat,93.7,231.1,715.1,8.4,21.9,42,2.2,0,174.63,1,0.781955616,
2,5,sep,wed,90.1,82.9,735.7,6.2,18.3,45,2.2,0,4.88,0,0.710853423,
3,4,aug,tue,96.1,181.1,671.2,14.3,32.3,27,2.2,0,14.68,0,0.912699951,
6,5,sep,fri,92.5,122,789.7,10.2,18.4,42,2.2,0,1.09,0,0.269155674,
7,4,oct,fri,90,41.5,682.6,8.7,11.3,60,5.4,0,0,0,0.209417976,
8,6,aug,thu,94.8,222.4,698.6,13.9,23.9,38,6.7,0,0,0,0.570838508,
3,4,aug,fri,91.6,112.4,573,8.9,11.2,84,7.6,0,3.3,0,0.306514351,
3,4,sep,sun,89.6,84.1,714.3,5.7,23.8,35,3.6,0,5.18,0,0.394882966,
7,4,sep,fri,92.1,99,745.3,9.6,20.6,43,3.6,0,2.03,0,0.577867135,
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0,0,0,0.546957585,
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0,0,0,0.581976509,
6,5,mar,thu,91.3,20.6,43.5,8.5,13.3,27,3.6,0,6.61,0,0.346825763,
4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0,0,0,0.380832254,
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0,9.77,0,0.63927532,
4,5,feb,sat,84.7,8.2,55,2.9,14.2,46,4,0,0,0,0.336994541,
3,4,jul,mon,94.6,160,567.2,16.7,17.9,48,2.7,0,0,0,0.169228876,
8,6,sep,mon,91.5,130.1,807.1,7.5,15.9,51,4.5,0,2.18,0,0.178043318,
6,6,aug,sat,96,164,643,14,30.8,30,4.9,0,8.59,0,0.047688433,
1,5,sep,sun,93.5,149.3,728.6,8.1,27.8,27,3.1,0,95.18,1,0.116721575,
4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0,0,0,0.070800147,
7,4,feb,sun,83.9,8.7,32.1,2.1,8.8,68,2.2,0,13.05,0,0.744363558,
9,9,jul,tue,85.8,48.3,313.4,3.9,18,42,2.7,0,0.36,0,0.654124689,
7,4,jul,mon,89.2,103.9,431.6,6.4,22.6,57,4.9,0,278.53,1,0.942817179,
4,3,sep,fri,90.3,290,855.3,7.4,19.9,44,3.1,0,7.8,0,0.886575026,
8,5,sep,sun,89.7,90,704.4,4.8,17.8,67,2.2,0,2.01,0,0.091553039,
6,5,mar,mon,87.2,15.1,36.9,7.1,10.2,45,5.8,0,3.18,0,0.221041315,
1,4,jul,tue,92.3,96.2,450.2,12.1,23.4,31,5.4,0,0,0,0.04333816,
7,4,sep,sun,89.6,84.1,714.3,5.7,17.1,53,5.4,0,0.41,0,0.606424946,
9,4,sep,tue,84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66,1,0.459175272,
5,5,aug,sun,94,47.9,100.7,10.7,17.3,80,4.5,0,0,0,0.753318015,
7,4,aug,sun,91.6,181.3,613,7.6,19.3,61,4.9,0,0,0,0.883685333,
4,4,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0,0,0,0.188734468,
6,5,sep,tue,91.9,111.7,770.3,6.5,19.6,45,3.1,0,20.03,0,0.163861706,
2,4,aug,sun,94.2,122.3,589.9,12.9,15.4,66,4,0,10.13,0,0.947290642,
3,4,aug,mon,91.5,145.4,608.2,10.7,10.3,74,2.2,0,0,0,0.907562411,
4,4,sep,mon,90.9,126.5,686.5,7,17.7,39,2.2,0,3.07,0,0.036138841,
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0,0,0,0.032396415,
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0,0,0,0.542888041,
4,4,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0,0,0,0.593105436,
6,5,sep,wed,92.6,115.4,777.1,8.8,24.3,27,4.9,0,0,0,0.53331462,
6,4,aug,thu,95.2,131.7,578.8,10.4,20.3,41,4,0,1.9,0,0.56257606,
6,4,jun,sun,90.4,89.5,290.8,6.4,14.3,46,1.8,0,0.9,0,0.954310571,
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0,0,0,0.036009618,
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0,0,0,0.136122443,
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0,0,0,0.71103177,
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0,0,0,0.757724287,
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0,0,0,0.094928596,
1,3,aug,thu,94.8,222.4,698.6,13.9,26.2,34,5.8,0,0,0,0.8734644,
8,6,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0,3.32,0,0.499051529,
8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0,2.55,0,0.624421548,
3,5,mar,mon,87.6,52.2,103.8,5,9,49,2.2,0,0,0,0.618502627,
2,5,jul,sat,91.6,104.2,474.9,9,18.7,53,1.8,0,0,0,0.575229497,
7,4,sep,thu,89.7,287.2,849.3,6.8,19.4,45,3.6,0,0,0,0.16922054,
7,4,aug,sat,93.5,139.4,594.2,20.3,5.1,96,5.8,0,26,0,0.363226896,
3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4,0,0,0,0.430668326,
8,6,aug,sun,91.4,142.4,601.4,10.6,19.6,41,5.8,0,196.48,1,0.452374608,
6,4,sep,tue,91,129.5,692.6,7,18.3,40,2.7,0,0,0,0.899332517,
